,Date,Site,Plot,Tag,ID,Size_x,T1_Date,T1_Survival,Taxa_broad,Site_Plot
85,16/4/2024,A5_6m,1,A0211,C,7,16/3/2025,1,Acropora spp.,A5_6m_1
86,16/4/2024,A5_6m,1,A0212,A,5,16/3/2025,0,Acropora spp.,A5_6m_1
87,16/4/2024,A5_6m,1,A0212,B,3,16/3/2025,0,Acropora spp.,A5_6m_1
88,16/4/2024,A5_6m,1,A0212,C,2,16/3/2025,0,Acropora spp.,A5_6m_1
89,16/4/2024,A5_6m,1,A0236,A,6,16/3/2025,1,Acropora spp.,A5_6m_1
90,16/4/2024,A5_6m,1,A0236,B,4,16/3/2025,1,Acropora spp.,A5_6m_1
91,17/4/2024,A5_6m,1,A0244,C,5,16/3/2025,0,Acropora spp.,A5_6m_1
92,16/4/2024,A5_6m,1,A0245,A,2,16/3/2025,1,Acropora spp.,A5_6m_1
93,16/4/2024,A5_6m,1,A0245,H,4,16/3/2025,0,Acropora spp.,A5_6m_1
94,16/4/2024,A5_6m,1,A0245,I,1,16/3/2025,0,Acropora spp.,A5_6m_1
95,16/4/2024,A5_6m,1,A0245,J,4,16/3/2025,0,Acropora spp.,A5_6m_1
96,16/4/2024,A5_6m,1,A0245,L,5,16/3/2025,1,Acropora spp.,A5_6m_1
97,17/4/2024,A5_6m,1,A0247,E,5,16/3/2025,0,Acropora spp.,A5_6m_1
98,17/4/2024,A5_6m,1,A0254,A,5,16/3/2025,1,Acropora spp.,A5_6m_1
99,17/4/2024,A5_6m,1,A0254,B,1.5,16/3/2025,0,Acropora spp.,A5_6m_1
100,17/4/2024,A5_6m,1,A0254,D,7,16/3/2025,1,Acropora spp.,A5_6m_1
101,17/4/2024,A5_6m,1,A0256,A,4.5,16/3/2025,0,Acropora spp.,A5_6m_1
102,17/4/2024,A5_6m,1,A0328,B,4,16/3/2025,1,Acropora spp.,A5_6m_1
103,17/4/2024,A5_6m,1,A0328,D,7,16/3/2025,1,Acropora spp.,A5_6m_1
104,17/4/2024,A5_6m,1,A0329,E,3,16/3/2025,1,Acropora spp.,A5_6m_1
105,17/4/2024,A5_6m,1,A0329,F,5,16/3/2025,1,Acropora spp.,A5_6m_1
106,16/4/2024,A5_6m,3,A0207,A,6,16/3/2025,0,Acropora spp.,A5_6m_3
107,16/4/2024,A5_6m,3,A0207,B,7,16/3/2025,1,Acropora spp.,A5_6m_3
108,16/4/2024,A5_6m,3,A0207,D,7,16/3/2025,1,Acropora spp.,A5_6m_3
109,16/4/2024,A5_6m,3,A0207,F,5,16/3/2025,0,Acropora spp.,A5_6m_3
110,16/4/2024,A5_6m,3,A0207,I,1,16/3/2025,0,Acropora spp.,A5_6m_3
111,16/4/2024,A5_6m,3,A0207,L,6,16/3/2025,0,Acropora spp.,A5_6m_3
112,17/4/2024,A5_6m,3,A0238,A,2,16/3/2025,0,Acropora spp.,A5_6m_3
113,17/4/2024,A5_6m,3,A0238,B,6,16/3/2025,1,Acropora spp.,A5_6m_3
114,17/4/2024,A5_6m,3,A0238,D,5,16/3/2025,1,Acropora spp.,A5_6m_3
115,16/4/2024,A5_6m,3,A0248,A,8,16/3/2025,1,Acropora spp.,A5_6m_3
116,17/4/2024,A5_6m,3,A0257,H,6,16/3/2025,1,Acropora spp.,A5_6m_3
117,17/4/2024,A5_6m,3,A0258,A,1,16/3/2025,0,Acropora spp.,A5_6m_3
118,17/4/2024,A5_6m,3,A0258,I,5,16/3/2025,0,Acropora spp.,A5_6m_3
